"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
100 70 35 0.262650363591623 0.182389062912466 FALSE ""
1000 2990 36 0.316717326320531 0.168273996314367 FALSE ""
500 2994 37 0.274307896302007 0.228856616087055 FALSE ""
500 977 38 0.270417442541548 0.212713763655013 FALSE ""
50 1189 39 0.379446963361293 -0.012855327811596 FALSE ""
50 3465 40 0.180834865759111 0.446020148499924 FALSE ""
50 1826 41 0.294238214143867 0.365933851953432 FALSE ""
50 187 42 0.221026488630991 0.314157657757707 FALSE ""
500 4216 43 0.285532981170817 0.250328183512062 FALSE ""
100 526 44 0.273304025173514 0.358399810767784 FALSE ""
1000 3298 45 0.288534535378991 0.254598007335163 FALSE ""
1000 1664 46 0.263425613060095 0.263070044131888 FALSE ""
100 4181 47 0.381832667267681 -0.0144801989186869 FALSE ""
100 4823 48 0.386160901813535 -0.0724430139019777 FALSE ""
1000 2448 49 0.3278096653965 0.17950832792209 FALSE ""
1000 2266 50 0.27880196656882 0.243728608519242 FALSE ""
50 1211 51 0.372331173553182 -0.139217207039302 FALSE ""
1000 2506 52 0.322566501539822 0.178394609363943 FALSE ""
100 265 53 0.361081139347785 0.0864489564061708 FALSE ""
500 3717 54 0.348475198670178 0.0757188986215811 FALSE ""
100 2533 55 0.302255541098708 0.124200727127243 FALSE ""
100 3600 56 0.290157042981634 0.300662370290795 FALSE ""
50 2909 57 0.368426092464947 -0.00316494462851118 FALSE ""
100 2764 58 0.264395191929778 0.219723700282393 FALSE ""
500 3468 59 0.335421391277006 0.151595670193158 FALSE ""
1000 381 60 0.298033785156059 0.19276878773886 FALSE ""
50 3165 61 0.63220607129715 -0.448203251140294 FALSE ""
50 1246 62 0.275301175613547 0.311966127216935 FALSE ""
500 598 63 0.303836863223782 0.219487517976742 FALSE ""
1000 1227 64 0.298341582143423 0.207799747768182 FALSE ""
1000 4404 65 0.337778042756769 0.179536041977323 FALSE ""
100 1338 66 0.23442882182954 0.282457670436685 FALSE ""
500 4342 67 0.336652706660573 0.157744709024683 FALSE ""
50 3857 68 0.109384239781301 0.388628410231023 FALSE ""
50 1169 69 0.184418214283389 0.293215070186652 FALSE ""
1000 3897 70 0.286723016968366 0.20290737791024 FALSE ""
50 1728 71 0.337588001317031 0.210625979564474 FALSE ""
1000 4144 72 0.33838216171528 0.099185747453723 FALSE ""
1000 1193 73 0.274818844517951 0.203510215176832 FALSE ""
50 699 74 0.299428606897784 0.275729556809099 FALSE ""
1000 3288 75 0.2776792139732 0.232021259029169 FALSE ""
500 671 76 0.25617217019554 0.277220520368151 FALSE ""
1000 1076 77 0.257153781849761 0.268299457330408 FALSE ""
50 1187 78 0.236325678274849 0.281351160696833 FALSE ""
50 3050 79 0.215980623126421 0.247398357121998 FALSE ""
50 4263 80 0.214151740298623 0.297069157230366 FALSE ""
50 4246 81 0.267422206184883 0.232669695289489 FALSE ""
1000 803 82 0.309521521046744 0.163736303207549 FALSE ""
50 4805 83 0.102380790143911 0.378210109446778 FALSE ""
1000 2230 84 0.274973828092772 0.254536141097901 FALSE ""
1000 3781 85 0.309431499423505 0.194936065838759 FALSE ""
100 3007 86 0.338288078978441 0.149370715909904 FALSE ""
500 2112 87 0.25342307184253 0.281198725024164 FALSE ""
1000 4350 88 0.246945986593841 0.257235295192325 FALSE ""
1000 4267 89 0.266136396882299 0.2591742068163 FALSE ""
100 1940 90 0.277583862674949 0.260113718316949 FALSE ""
50 466 91 0.329223298155731 0.116613038736576 FALSE ""
500 2522 92 0.257688855650657 0.228114068903618 FALSE ""
50 2588 93 0.297077210386546 0.272096048823683 FALSE ""
1000 2626 94 0.285012828644542 0.202233484160238 FALSE ""
100 3796 95 0.354635286428417 0.0966192804172752 FALSE ""
50 468 96 0.563279860643305 -0.13001008718189 FALSE ""
100 188 97 0.357693569673497 0.109914842672581 FALSE ""
100 3894 98 0.333450223595069 0.141502549721188 FALSE ""
100 966 99 0.409500896716052 0.0953322145058395 FALSE ""
500 505 100 0.352381382712758 0.162190895731186 FALSE ""
1000 3679 101 0.306823282864394 0.190869292172119 FALSE ""
50 3117 102 0.223017989010394 0.446580392127371 FALSE ""
1000 1427 103 0.304441845399898 0.178673685888259 FALSE ""
500 338 104 0.294877082832313 0.221452618904285 FALSE ""
50 4521 105 0.268997712130529 0.188311234705227 FALSE ""
500 1533 106 0.308402982434018 0.222452160869069 FALSE ""
100 2966 107 0.233084911134037 0.328857545966216 FALSE ""
1000 2898 108 0.253645594733096 0.277462825461275 FALSE ""
50 610 109 0.265396677200748 0.297300266817758 FALSE ""
1000 4611 110 0.268259725961445 0.248504067271975 FALSE ""
1000 2452 111 0.289641407009114 0.21117184806378 FALSE ""
100 1111 112 0.31742809717147 0.162290479268807 FALSE ""
1000 2029 113 0.288680507630617 0.225496324425242 FALSE ""
50 531 114 0.436635790003135 0.0117221485186759 FALSE ""
