"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
100 2 253 198 1.82948858290316 FALSE ""
500 0.25 126 199 0.254390976367526 FALSE ""
500 2 896 200 2.02945927319984 FALSE ""
50 1 26 201 0.982802745986523 FALSE ""
50 0.25 816 202 0.242051449084255 FALSE ""
500 0.5 782 203 0.476951946203091 FALSE ""
100 0.5 191 204 0.536971602559059 FALSE ""
100 1 262 205 0.936199442646805 FALSE ""
100 0.5 160 206 0.518010488589552 FALSE ""
100 2 462 207 1.94028638669142 FALSE ""
50 0.5 282 208 0.4833026588043 FALSE ""
50 0.5 402 209 0.467369341101112 FALSE ""
50 1 902 210 1.11849258868285 FALSE ""
50 0.25 285 211 0.266443509861739 FALSE ""
1000 2 475 212 1.98781597134842 FALSE ""
1000 0.25 261 213 0.246403835348943 FALSE ""
1000 0.25 756 214 0.246677397926166 FALSE ""
100 0.5 713 215 0.484003623837724 FALSE ""
1000 2 764 216 2.02268425198871 FALSE ""
100 1 288 217 0.994309458778123 FALSE ""
1000 2 698 218 1.95664526760762 FALSE ""
500 2 908 219 2.04743251969292 FALSE ""
100 0.5 919 220 0.532549364449231 FALSE ""
1000 0.5 372 221 0.512745651984828 FALSE ""
100 0.5 803 222 0.531508909072322 FALSE ""
50 0.5 128 223 0.497816494726758 FALSE ""
100 2 612 224 2.04179969355707 FALSE ""
50 1 675 225 0.994284586667794 FALSE ""
100 0.5 24 226 0.523082697943893 FALSE ""
500 1 534 227 1.01675516381112 FALSE ""
1000 0.25 156 228 0.249978623063545 FALSE ""
50 2 49 229 1.99413894205599 FALSE ""
100 1 680 230 1.04121801734075 FALSE ""
500 1 412 231 0.987697688168135 FALSE ""
50 1 555 232 1.05714357151026 FALSE ""
500 0.5 186 233 0.499235852250094 FALSE ""
500 0.25 378 234 0.247379004842859 FALSE ""
100 2 850 235 1.94757131183116 FALSE ""
1000 0.25 624 236 0.247476418605803 FALSE ""
100 1 97 237 1.02005693763402 FALSE ""
50 2 439 238 1.99865527060364 FALSE ""
50 0.5 539 239 0.523890301146531 FALSE ""
1000 1 868 240 0.979659302202954 FALSE ""
100 0.25 314 241 0.244266202375919 FALSE ""
50 0.25 541 242 0.214824763011403 FALSE ""
50 0.5 576 243 0.523568110708816 FALSE ""
50 2 563 244 2.14546988656399 FALSE ""
100 0.5 178 245 0.493673110387399 FALSE ""
1000 2 778 246 1.98608541892276 FALSE ""
50 0.25 771 247 0.260543633945132 FALSE ""
1000 1 320 248 0.975700210061477 FALSE ""
50 0.25 934 249 0.251162241738016 FALSE ""
50 1 441 250 1.05113074250865 FALSE ""
50 1 48 251 1.00829492465795 FALSE ""
1000 0.5 8 252 0.479964711146208 FALSE ""
1000 0.25 617 253 0.254949532601999 FALSE ""
500 2 904 254 1.98794805218136 FALSE ""
1000 1 631 255 0.988512651136869 FALSE ""
1000 2 647 256 1.97361892732613 FALSE ""
100 2 699 257 2.04655463513798 FALSE ""
500 0.25 411 258 0.246042148664758 FALSE ""
1000 0.5 559 259 0.480591020690232 FALSE ""
1000 1 916 260 0.978341171145186 FALSE ""
1000 0.5 216 261 0.502920268113504 FALSE ""
1000 2 666 262 1.9656459139979 FALSE ""
500 0.25 35 263 0.248490249980378 FALSE ""
50 2 575 264 1.82321747319531 FALSE ""
500 2 415 265 1.98098717055491 FALSE ""
1000 2 682 266 2.00081124584602 FALSE ""
50 1 587 267 0.919028187990981 FALSE ""
100 1 475 268 0.957315049486953 FALSE ""
100 1 132 269 1.00810072841707 FALSE ""
1000 0.5 355 270 0.490687538522675 FALSE ""
1000 2 376 271 2.03787156514507 FALSE ""
50 2 573 272 2.08584093439373 FALSE ""
500 0.5 160 273 0.506867542443319 FALSE ""
50 0.25 547 274 0.235505399449237 FALSE ""
500 2 579 275 1.98543017556053 FALSE ""
50 0.25 73 276 0.235205870907378 FALSE ""
50 0.25 620 277 0.230434292595462 FALSE ""
100 2 118 278 1.97201082234357 FALSE ""
50 2 167 279 1.75869857971084 FALSE ""
50 0.5 537 280 0.529080269756494 FALSE ""
100 2 922 281 1.9680795147936 FALSE ""
1000 0.5 79 282 0.500675426403732 FALSE ""
500 1 465 283 0.993628411974785 FALSE ""
100 0.5 314 284 0.483073893553599 FALSE ""
1000 1 364 285 0.999041237384519 FALSE ""
100 0.5 688 286 0.503938210538589 FALSE ""
50 0.5 413 287 0.495907474072088 FALSE ""
500 2 81 288 2.01344954278664 FALSE ""
500 0.25 994 289 0.249416532366502 FALSE ""
100 2 190 290 2.06649585576458 FALSE ""
500 1 873 291 1.00040533898289 FALSE ""
100 0.5 219 292 0.498973332743625 FALSE ""
